Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
44,US-2024-104472,10/13/2024,10/15/2024,Standard Class,CG-84411,Home Office,East,Virginia,Technology,Accessories,2737.74,7,0.4,456.02
45,US-2024-102079,08/19/2024,08/25/2024,Same Day,CG-60960,Corporate,Central,Michigan,Furniture,Bookcases,5349.57,8,0.15,251.37
46,US-2021-100954,07/31/2021,08-06-2021,Second Class,CG-62596,Consumer,West,Washington,Technology,Machines,3960.86,4,0,144.22
47,US-2023-100387,11/30/2023,12-05-2023,Same Day,CG-29484,Home Office,East,Massachusetts,Technology,Machines,8596.43,8,0.2,953.92
48,US-2021-104290,09/17/2021,09/24/2021,Same Day,CG-62465,Consumer,South,North Carolina,Office Supplies,Art,697.7,8,0.3,208.69
49,US-2023-107313,03/20/2023,03/23/2023,Standard Class,CG-37084,Corporate,South,Alabama,Office Supplies,Art,58.56,8,0.2,19.26
50,US-2023-105924,05/24/2023,05/27/2023,First Class,CG-62840,Home Office,West,Arizona,Office Supplies,Binders,555.73,5,0,-70.69
51,US-2021-106601,03-06-2021,03-10-2021,Same Day,CG-60496,Corporate,West,Oregon,Technology,Accessories,747.3,1,0.1,137.18
52,US-2022-109000,08-11-2022,08-12-2022,First Class,CG-57125,Home Office,CENTRAL,Ohio,Technology,Phones,246.12,7,0,-14.71
53,US-2024-108314,12/14/2024,12/17/2024,Second Class,CG-54102,Home Office,Central,Illinois,Office Supplies,Art,134.66,3,0.5,19.46
54,US-2022-107707,12/17/2022,12/24/2022,Second Class,CG-89345,Home Office,West,Washington,Office Supplies,Art,77.41,1,0.3,11.02
55,US-2024-109098,10/14/2024,10/18/2024,Second Class,CG-57126,Corporate,South,Tennessee,Furniture,Furnishings,785.01,1,0,133.71
56,US-2021-105170,10/17/2021,10/23/2021,First Class,CG-31504,Consumer,Central,Missouri,Technology,Phones,589.45,1,0,44.93
57,US-2022-103112,04-02-2022,04-08-2022,Same Day,CG-78976,Corporate,South,North Carolina,Office Supplies,Labels,86.71,2,0.3,18.99
58,US-2023-104091,12/14/2023,12/17/2023,Same Day,CG-67112,Home Office,West,Oregon,Furniture,Bookcases,438.37,7,0,-42.69
59,US-2021-104186,02-06-2021,02-08-2021,Same Day,CG-33210,Corporate,East,Virginia,Furniture,Chairs,200.86,1,0.2,-36.82
60,US-2022-107584,03/31/2022,04-07-2022,Same Day,CG-82424,Corporate,West,California,Furniture,Furnishings,279.93,3,0.5,23.48
61,US-2021-101272,12/15/2021,12/18/2021,Same Day,CG-94984,Consumer,West,Arizona,Technology,Accessories,396.72,6,0.3,-86.63
62,US-2023-104513,02/27/2023,03-05-2023,Same Day,CG-29097,Home Office,West,Arizona,Technology,Machines,550.73,3,0,82.85
63,US-2021-107686,01-01-2021,01-02-2021,Standard Class,CG-72180,Consumer,Central,Michigan,Office Supplies,Binders,964.68,8,0.5,-177.88
64,US-2024-101584,02/16/2024,02/23/2024,Standard Class,CG-69363,Consumer,South,Tennessee,Office Supplies,Storage,120.44,4,0,-9.42
65,US-2022-107723,12/21/2022,12/27/2022,Same Day,CG-76350,Home Office,South,Alabama,Office Supplies,Labels,61.61,1,0.5,17
66,US-2022-106903,09-08-2022,09-09-2022,Standard Class,CG-18747,Home Office,CENTRAL,Missouri,Furniture,Bookcases,2602.97,7,0.15,-318.01
67,US-2023-107443,08/26/2023,08/28/2023,Same Day,CG-72998,Consumer,South,Georgia,Furniture,Tables,1262.66,4,0.15,410.14
68,US-2023-109060,01/31/2023,02-04-2023,Same Day,CG-44961,Corporate,East,Virginia,Technology,Copiers,6396.97,6,0,544.73
69,US-2021-105304,08-08-2021,08/14/2021,Second Class,CG-84554,Corporate,Central,Texas,Furniture,Bookcases,536.65,1,0.15,146.51
70,US-2022-100521,01/26/2022,01/29/2022,First Class,CG-90769,Corporate,Central,Missouri,Technology,Phones,767.02,5,0,110.5
71,US-2022-104931,07-03-2022,07-08-2022,First Class,CG-32614,Consumer,Central,Michigan,Technology,Machines,939.81,6,0.4,-205.03
72,US-2021-103761,07/23/2021,07/26/2021,Second Class,CG-98983,Consumer,West,Washington,Furniture,Tables,2139.35,4,0.3,36.89
73,US-2022-106270,12-06-2022,12-10-2022,Second Class,CG-73053,Corporate,,Pennsylvania,Technology,Phones,,3,0.1,505.92
74,US-2023-101452,10-06-2023,10-07-2023,Second Class,CG-40081,Home Office,South,Alabama,Furniture,Chairs,2089.05,4,0,713.84
75,US-2022-101044,07/30/2022,08-03-2022,Same Day,CG-66815,Corporate,East,Virginia,Technology,Accessories,1200.44,3,0.1,-79.89
76,US-2021-105018,08-07-2021,08/13/2021,Same Day,CG-40392,Corporate,Central,Missouri,Office Supplies,Art,94.87,1,0.3,4.36
77,US-2024-103404,06/24/2024,06/28/2024,Same Day,CG-71198,Consumer,East,New Jersey,Office Supplies,Art,259.41,4,0,-59.63
78,US-2024-103277,04/30/2024,05-07-2024,Standard Class,CG-79170,Home Office,East,Massachusetts,Furniture,Tables,5284.62,8,0.5,345.5
79,US-2022-106001,12/31/2022,01-07-2023,Same Day,CG-16365,Corporate,South,Georgia,Technology,Accessories,2243.95,3,0,45.28
80,US-2021-103814,06-08-2021,06/15/2021,Standard Class,CG-31586,Corporate,Central,Michigan,Furniture,Bookcases,637.24,1,0,86.05
81,US-2022-107720,05/20/2022,05/22/2022,Standard Class,CG-28447,Consumer,Central,Illinois,Technology,Phones,3656.58,6,0.3,-193.36
82,US-2022-109507,08/24/2022,08/27/2022,Second Class,CG-74972,Corporate,West,Oregon,Technology,Copiers,4257.82,5,0,908.29
83,US-2022-108499,12/17/2022,12/21/2022,First Class,CG-62946,Corporate,CENTRAL,Ohio,Office Supplies,Art,,1,0.1,10.6
84,US-2023-106978,10-07-2023,10/14/2023,Standard Class,CG-63325,Home Office,East,New York,Furniture,Bookcases,2264.86,5,0.2,434.56
85,US-2023-106354,09-04-2023,09-06-2023,First Class,CG-69809,Consumer,West,Washington,Furniture,Chairs,1449.58,4,0,422.06
86,US-2022-102882,07-07-2022,07-12-2022,First Class,CG-51132,Home Office,East,Massachusetts,Technology,Copiers,2974.68,3,0.5,-594.32
87,US-2021-100891,01-04-2021,01-05-2021,Second Class,CG-33121,Corporate,East,Massachusetts,Technology,Copiers,3193.72,5,0.3,480.1
88,US-2021-101446,03-12-2021,03/18/2021,Same Day,CG-18372,Consumer,Central,Ohio,Technology,Phones,345.47,1,0,83.54
89,US-2024-105197,10/14/2024,10/16/2024,Standard Class,CG-90335,Home Office,West,Oregon,Furniture,Bookcases,856.34,4,0,187.81
90,US-2023-100564,02-06-2023,02/13/2023,Second Class,CG-34931,Corporate,,Pennsylvania,Furniture,Furnishings,385.51,1,0.4,4.15
91,US-2021-109686,05-01-2021,05-03-2021,Standard Class,CG-47852,Consumer,Central,Illinois,Office Supplies,Paper,116.19,2,0,38.99
92,US-2024-101212,07-07-2024,07-08-2024,Second Class,CG-50341,Home Office,West,California,Furniture,Bookcases,4981.1,8,0,-104.75
93,US-2023-102821,04/15/2023,04/18/2023,Second Class,CG-50032,Corporate,Central,Ohio,Office Supplies,Art,201.04,7,0.3,-8.97
94,US-2021-109017,06-02-2021,06-05-2021,Same Day,CG-41885,Consumer,Central,Illinois,Furniture,Furnishings,3826.92,8,0.15,-599.33
95,US-2024-105737,12-11-2024,12/18/2024,Standard Class,CG-37732,Consumer,Central,Illinois,Furniture,Bookcases,1329.23,5,0.4,95.01
96,US-2024-108291,11/30/2024,12-02-2024,Same Day,CG-97346,Consumer,West,Nevada,Technology,Copiers,308.11,2,0.4,96.34
97,US-2024-101328,02-08-2024,02-09-2024,Standard Class,CG-36041,Home Office,West,Nevada,Technology,Machines,1820.15,3,0.1,39.49
98,US-2023-106063,01/31/2023,02-06-2023,Second Class,CG-68906,Home Office,South,North Carolina,Furniture,Tables,2016.83,7,0.5,267.43
99,US-2024-100538,10-06-2024,10-08-2024,Same Day,CG-42346,Corporate,West,California,Furniture,Furnishings,4391.76,8,0.2,-465.86
100,US-2021-105429,06/26/2021,07-01-2021,Standard Class,CG-86680,Home Office,East,Virginia,Office Supplies,Storage,422.98,6,0.2,26.37
101,US-2023-101386,06-12-2023,06/17/2023,Second Class,CG-37581,Home Office,Central,Michigan,Technology,Machines,1292.04,8,0,-284.78
102,US-2023-108403,11-07-2023,11/14/2023,Same Day,CG-48823,Consumer,Central,Illinois,Technology,Copiers,7295.86,7,0.4,256.2
103,US-2021-101506,12/22/2021,12/23/2021,First Class,CG-42195,Corporate,Central,Illinois,Furniture,Bookcases,311.63,3,0.4,-53.81
104,US-2021-109127,04/30/2021,05-02-2021,Standard Class,CG-12488,Consumer,West,Washington,Technology,Accessories,524.36,2,0.2,-16.5
105,US-2023-100368,09/26/2023,09/29/2023,First Class,CG-37444,Consumer,West,Oregon,Technology,Phones,363.11,1,0.4,54.67
106,US-2023-109335,08-12-2023,08/16/2023,Same Day,CG-92286,Home Office,East,Massachusetts,Office Supplies,Storage,571.31,4,0.15,81.83
107,US-2021-101374,02/18/2021,02/22/2021,Same Day,CG-47643,Home Office,East,New Jersey,Technology,Copiers,4653.34,7,0.15,600.44
108,US-2023-107033,03-12-2023,03/14/2023,Standard Class,CG-80530,Home Office,South,North Carolina,Office Supplies,Binders,281.17,2,0.2,-39.53
109,US-2022-108911,10-08-2022,10/13/2022,Same Day,CG-28761,Corporate,West,Washington,Office Supplies,Labels,158.62,4,0.2,19.01
110,US-2022-102921,06/26/2022,07-01-2022,Standard Class,CG-10042,Corporate,South,Tennessee,Office Supplies,Art,332.06,5,0.2,62.28
111,US-2024-104582,07/28/2024,08-03-2024,Second Class,CG-15943,Consumer,East,New York,Technology,Accessories,3201.25,4,0.5,161.85
112,US-2024-107435,07/24/2024,07/28/2024,Second Class,CG-94484,Corporate,South,Georgia,Furniture,Bookcases,1061.53,2,0.15,127.03
113,US-2021-104097,09-09-2021,09/14/2021,Same Day,CG-50697,Corporate,Central,Texas,Technology,Phones,2437.29,8,0.2,-156.97
114,US-2024-109022,12/22/2024,12/28/2024,First Class,CG-79017,Consumer,West,Oregon,Furniture,Tables,2247.97,8,0.4,594.94
115,US-2024-102601,11/13/2024,11/20/2024,First Class,CG-25232,Home Office,East,New Jersey,Office Supplies,Art,197.29,8,0,20.59
116,US-2021-101204,01/27/2021,02-01-2021,Standard Class,CG-43166,Corporate,Central,Texas,Technology,Accessories,7783.66,8,0.3,-1015.52
117,US-2023-109975,06-10-2023,06/14/2023,Standard Class,CG-17421,Consumer,Central,Texas,Technology,Machines,2024.12,8,0.1,37.93
118,US-2023-105793,08/28/2023,09-01-2023,Second Class,CG-63867,Corporate,South,Alabama,Technology,Copiers,2827.02,3,0.2,-176.04
119,US-2024-108481,03/30/2024,04-05-2024,First Class,CG-72113,Home Office,South,Florida,Furniture,Furnishings,1998.67,5,0.15,380.37
120,US-2022-104117,04/30/2022,05-02-2022,Standard Class,CG-84753,Corporate,CENTRAL,Illinois,Technology,Accessories,3238.81,8,0.2,292.99
121,US-2022-103628,06/28/2022,07-04-2022,Standard Class,CG-99839,Corporate,West,Oregon,Office Supplies,Binders,65.9,2,0.3,-9.75
122,US-2023-104939,08/24/2023,08/25/2023,Same Day,CG-79842,Home Office,West,California,Technology,Copiers,741.75,1,0.2,-45.17
123,US-2023-104246,09-01-2023,09-04-2023,Same Day,CG-85598,Corporate,West,Oregon,Technology,Phones,1080.36,3,0.15,-87.74
124,US-2023-105399,07/30/2023,07/31/2023,Same Day,CG-50115,Home Office,West,Nevada,Technology,Phones,6716.72,6,0.15,1433.29
125,US-2024-101071,06/24/2024,06/30/2024,Same Day,CG-36962,Consumer,South,Tennessee,Office Supplies,Binders,344.16,4,0.15,33.1
126,US-2022-104570,03-01-2022,03-06-2022,Same Day,CG-65654,Home Office,Central,Illinois,Furniture,Bookcases,4173.84,6,0.3,147.51
127,US-2022-106072,08-09-2022,08-12-2022,Same Day,CG-48889,Home Office,South,North Carolina,Technology,Phones,5778.62,6,0,-882.59
128,US-2021-104324,04/26/2021,04/28/2021,Same Day,CG-39100,Corporate,South,North Carolina,Office Supplies,Labels,234.93,2,0.15,47.44
129,US-2021-101577,07/23/2021,07/25/2021,Second Class,CG-65895,Consumer,Central,Illinois,Technology,Accessories,2062.37,5,0.3,133.13
130,US-2023-107165,11-01-2023,11-08-2023,Same Day,CG-72832,Home Office,South,Georgia,Office Supplies,Binders,98.74,6,0.1,22.63
131,US-2021-104803,02-01-2021,02-04-2021,First Class,CG-80111,Corporate,South,Tennessee,Office Supplies,Storage,35.43,1,0.3,-6.1
132,US-2022-107083,06/15/2022,06/21/2022,Standard Class,CG-71742,Home Office,Central,Missouri,Office Supplies,Binders,86.19,3,0.1,8.87
133,US-2024-109515,10/28/2024,11-04-2024,First Class,CG-49408,Consumer,Central,Michigan,Technology,Phones,3150.39,6,0.3,-639.01
134,US-2023-100194,12/13/2023,12/17/2023,First Class,CG-98587,Home Office,CENTRAL,Illinois,Office Supplies,Labels,555.36,6,0.5,74.8
135,US-2021-101407,12/16/2021,12/23/2021,Same Day,CG-12602,Corporate,East,Virginia,Technology,Accessories,7322.21,8,0,728.27
136,US-2022-106738,06-01-2022,06-04-2022,Standard Class,CG-71658,Corporate,South,North Carolina,Technology,Accessories,1210.46,4,0,286.37
137,US-2022-107606,10/20/2022,10/22/2022,Second Class,CG-52636,Home Office,South,Georgia,Technology,Machines,2313.41,2,0,525.93
138,US-2024-100213,10-09-2024,10/16/2024,Standard Class,CG-15936,Corporate,CENTRAL,Texas,Office Supplies,Storage,130.86,1,0.1,-17.74
139,US-2023-101041,11/27/2023,12-02-2023,First Class,CG-28161,Consumer,West,Washington,Office Supplies,Binders,238.13,4,0,-45.96
140,US-2021-108765,11-08-2021,11/14/2021,Same Day,CG-64738,Corporate,South,North Carolina,Furniture,Chairs,732.93,3,0.3,32.69
141,US-2022-102478,07/20/2022,07/27/2022,Second Class,CG-42153,Corporate,South,Florida,Office Supplies,Storage,91.75,1,0,28.73
142,US-2022-101665,01/31/2022,02-07-2022,Standard Class,CG-13574,Corporate,East,Virginia,Furniture,Bookcases,3052.59,7,0.3,604.02
143,US-2021-101100,07/24/2021,07/29/2021,Standard Class,CG-70812,Corporate,South,North Carolina,Technology,Accessories,2023.38,7,0.3,-71.05
144,US-2023-103679,03-07-2023,03-11-2023,Second Class,CG-63380,Home Office,East,New York,Technology,Phones,1332.12,6,0.4,-58.52
145,US-2024-101829,10/14/2024,10/18/2024,Second Class,CG-69234,Corporate,West,Washington,Furniture,Tables,227.68,3,0.15,72.71
146,US-2024-107241,10/23/2024,10/28/2024,Standard Class,CG-52768,Home Office,South,Georgia,Technology,Machines,3849.53,6,0.5,1299.94
147,US-2024-107721,10-06-2024,10-12-2024,Same Day,CG-84408,Consumer,West,Oregon,Office Supplies,Storage,490.72,7,0.5,132.51
148,US-2024-101773,07/17/2024,07/23/2024,Standard Class,CG-26343,Consumer,East,Pennsylvania,Technology,Accessories,433.95,1,0.1,45.78
149,US-2023-102186,06-06-2023,06/13/2023,First Class,CG-85344,Consumer,Central,Missouri,Technology,Accessories,578.02,3,0.2,-108.49
150,US-2023-104380,06-01-2023,06-05-2023,First Class,CG-98865,Home Office,Central,Illinois,Office Supplies,Storage,,4,0.3,83.12
151,US-2024-103709,05/26/2024,05/27/2024,First Class,CG-98617,Consumer,East,New York,Furniture,Furnishings,726.6,2,0,-34.04
152,US-2022-107285,10-03-2022,10-05-2022,Standard Class,CG-34750,Home Office,West,Oregon,Furniture,Furnishings,4045.83,6,0.15,139.05
153,US-2023-100231,10/20/2023,10/25/2023,First Class,CG-32185,Consumer,Central,Ohio,Office Supplies,Art,42.6,8,0,3.19
154,US-2022-102805,05-11-2022,05/16/2022,First Class,CG-18812,Consumer,South,Georgia,Furniture,Chairs,496.1,5,0,148.39
155,US-2022-108332,07/13/2022,07/15/2022,Same Day,CG-40197,Home Office,East,New York,Office Supplies,Binders,419,5,0,68.16
156,US-2023-100948,01-06-2023,01/13/2023,Same Day,CG-65188,Home Office,West,California,Furniture,Bookcases,,1,0,72.05
157,US-2021-100916,04/26/2021,04/27/2021,First Class,CG-87777,Corporate,Central,Michigan,Furniture,Chairs,787.73,2,0.5,-120.99
158,US-2021-107518,01/18/2021,01/20/2021,Standard Class,CG-39818,Corporate,East,Massachusetts,Technology,Phones,3431.13,7,0.5,-195.69
159,US-2023-100020,08/15/2023,08/22/2023,Second Class,CG-35112,Consumer,East,New York,Furniture,Furnishings,4183.97,6,0,-886.44
160,US-2022-107761,08-10-2022,08-12-2022,Standard Class,CG-27831,Corporate,South,Alabama,Technology,Machines,699.74,3,0,-148.32
161,US-2021-102227,02/22/2021,02/28/2021,Same Day,CG-66238,Corporate,West,Nevada,Furniture,Furnishings,874.76,2,0.2,189.09
162,US-2022-106743,04-12-2022,04/16/2022,Second Class,CG-15147,Home Office,South,Georgia,Office Supplies,Labels,464.51,5,0.4,80.75
163,US-2024-107075,12-04-2024,12-10-2024,First Class,CG-73022,Home Office,South,Georgia,Technology,Copiers,2669.8,7,0.3,-293.27
164,US-2022-100158,11-12-2022,11/14/2022,Same Day,CG-92802,Consumer,East,New Jersey,Technology,Accessories,410.23,3,0.4,7.57
165,US-2022-108903,08/21/2022,08/26/2022,First Class,CG-87531,Consumer,Central,Illinois,Technology,Copiers,4456.93,4,0,1219.3
166,US-2021-104962,02/24/2021,03-01-2021,Standard Class,CG-44230,Home Office,Central,Illinois,Furniture,Bookcases,341.59,7,0.5,-36
167,US-2024-103892,03/22/2024,03/23/2024,Same Day,CG-64254,Corporate,West,Nevada,Technology,Phones,6925.26,7,0.2,639.42
168,US-2022-105732,12-11-2022,12/18/2022,Standard Class,CG-49420,Consumer,East,New York,Technology,Copiers,2426.93,3,0,-509.98
169,US-2022-101670,03-11-2022,03/13/2022,First Class,CG-69183,Home Office,Central,Missouri,Technology,Phones,1041.35,1,0,-67.04
170,US-2022-109087,04-01-2022,04-08-2022,Same Day,CG-73104,Home Office,East,New Jersey,Furniture,Bookcases,1034.45,6,0,-90.42
171,US-2021-103636,04-10-2021,04/14/2021,Same Day,CG-26502,Home Office,East,Massachusetts,Technology,Machines,4305.85,7,0.15,472.71
172,US-2024-105061,10/25/2024,10/26/2024,Second Class,CG-85150,Consumer,East,Pennsylvania,Furniture,Chairs,4033.47,8,0,-443.25
173,US-2024-106701,12-04-2024,12-05-2024,First Class,CG-70691,Corporate,SOUTH,Florida,Office Supplies,Storage,915.47,7,0.3,34.48
174,US-2023-109214,01-08-2023,01/14/2023,Same Day,CG-90562,Corporate,West,Nevada,Office Supplies,Binders,431.51,6,0,-64.31
175,US-2023-108875,05/19/2023,05/23/2023,Same Day,CG-45574,Consumer,East,New Jersey,Furniture,Bookcases,1174.09,6,0.2,-103.58
176,US-2021-103206,10/22/2021,10/27/2021,Standard Class,CG-15005,Home Office,West,Washington,Office Supplies,Art,29.11,1,0.2,-6.87
177,US-2024-108246,07/17/2024,07/19/2024,Standard Class,CG-38165,Home Office,East,Pennsylvania,Technology,Machines,5368.15,8,0.2,351.22
178,US-2023-108853,06/28/2023,07-04-2023,First Class,CG-70396,Home Office,West,Washington,Office Supplies,Art,636.94,7,0,134.08
179,US-2022-103547,09/21/2022,09/28/2022,Second Class,CG-49264,Corporate,East,New York,Furniture,Bookcases,2176.93,8,0,-464.37
180,US-2024-107825,07/29/2024,08-03-2024,Second Class,CG-72680,Corporate,West,Nevada,Office Supplies,Labels,466.65,4,0.4,106.34
181,US-2024-106932,07/13/2024,07/20/2024,Same Day,CG-47200,Home Office,South,Tennessee,Furniture,Chairs,483.34,8,0,-43.01
182,US-2022-102131,07-04-2022,07-11-2022,Standard Class,CG-84059,Consumer,Central,Texas,Furniture,Chairs,3461.4,8,0.15,757.4
183,US-2023-106276,09-11-2023,09/13/2023,Second Class,CG-59713,Consumer,South,Alabama,Technology,Machines,490.5,4,0,48.79
184,US-2021-104002,08-07-2021,08-11-2021,Second Class,CG-55900,Corporate,Central,Illinois,Technology,Phones,411.26,5,0,-20.12
185,US-2023-105100,08-11-2023,08/18/2023,Same Day,CG-40338,Consumer,East,Pennsylvania,Office Supplies,Storage,390.7,8,0.3,68.59
186,US-2022-103623,07-10-2022,07-12-2022,Same Day,CG-48799,Consumer,South,North Carolina,Furniture,Tables,1169.96,6,0.3,-18.23
187,US-2024-107951,10/26/2024,11-02-2024,Same Day,CG-26027,Home Office,West,Oregon,Technology,Machines,1623.55,3,0.2,467.56
188,US-2021-104452,09/14/2021,09/17/2021,Standard Class,CG-90486,Home Office,West,Arizona,Technology,Phones,7188.72,7,0.1,-1096.37
189,US-2024-108301,06-09-2024,06-11-2024,Standard Class,CG-70006,Corporate,East,New York,Technology,Phones,2860.64,3,0.1,819.13
190,US-2024-103455,03-11-2024,03/17/2024,Second Class,CG-35883,Home Office,South,Tennessee,Office Supplies,Binders,245.77,7,0.3,-2.88
191,US-2024-100850,10/14/2024,10/19/2024,Second Class,CG-19108,Corporate,West,California,Technology,Copiers,1198.7,1,0,-64.75
192,US-2024-108468,07/18/2024,07/24/2024,First Class,CG-95695,Consumer,East,Virginia,Technology,Accessories,616.74,2,0.4,102.65
193,US-2022-107390,08/27/2022,09-01-2022,Same Day,CG-25943,Corporate,Central,Ohio,Technology,Phones,5525.91,6,0.1,1791.06
194,US-2022-106334,07/14/2022,07/16/2022,Second Class,CG-39678,Consumer,Central,Missouri,Technology,Accessories,1436.67,2,0.1,446.93
